split,filename,objects_per_image
train,100_jpg.rf.f1b9d16649ab385e3691fa54301a3b61.jpg,13
train,106_jpg.rf.e8dc04354de3fadaea50922857adf45e.jpg,15
train,10_jpg.rf.ecfa6fcdfec86c013936528ac959e40d.jpg,19
train,110_jpg.rf.2c87278f41415f6dfc58e3844a3c61f3.jpg,16
train,111_jpg.rf.43dd53d60dae89a68f02b58f3b167ad7.jpg,15
train,112_jpg.rf.92193a5794943f9f116c91578f806da4.jpg,20
train,113_jpg.rf.e2abde6eee16765e4266a017b1a3a1d0.jpg,11
train,114_jpg.rf.2fbc0ca69bdb966bcc642e80dc195efc.jpg,18
train,115_jpg.rf.b67b6f9a57244ad787dd942e85efcc4c.jpg,14
train,116_jpg.rf.91a6014ed9c5f347b7573c3f24e708b1.jpg,9
train,117_jpg.rf.da22e9ff457d8821649c8d638cfa455b.jpg,13
train,118_jpg.rf.0c7e43e16d89ff68409085be8b836561.jpg,16
train,119_jpg.rf.e35f1d7f9e075d0d21511036b11cda56.jpg,20
train,121_jpg.rf.2ffbea3e855456e2b977197e05d10943.jpg,20
train,123_jpg.rf.ad9bf1104c3cf812645aed431a1a027a.jpg,28
train,124_jpg.rf.e0ef75ee5b996f8e83cec07891450864.jpg,11
train,125_jpg.rf.f37f515011dff4fbb0b882e824432b93.jpg,19
train,126_jpg.rf.f7af3aff196462c418de0a98847a93f3.jpg,40
train,127_jpg.rf.d5a2865d579a33b7ad207f3bdfd4671a.jpg,16
train,128_jpg.rf.5d9b24db1406b3584c30a9a9c4c87b6d.jpg,21
train,129_jpg.rf.8672159b4320dbb95a5a62d7f763efe3.jpg,21
train,12_jpg.rf.141bac2f39d8211e111ed5f947bf8136.jpg,21
train,131_jpg.rf.429974f7222f6b61a84b1971a6eb7218.jpg,26
train,132_jpg.rf.17268cc947dbd738fbb534f57111d31b.jpg,17
train,134_jpg.rf.bfc2b2ce193188b9213229e9ff725045.jpg,21
train,135_jpg.rf.95b2d339db26f28f3179d4dd162aad9d.jpg,20
train,136_jpg.rf.2004d3fffff3f58a759dc6f0d10d3f10.jpg,10
train,138_jpg.rf.7e7286a215caebac413c3ac6c5ed0150.jpg,29
train,141_jpg.rf.ae0182b2d966fc94bf76f129f46c5a45.jpg,16
train,142_jpg.rf.9d8e6fa070a9e2c99c56fc36a5b6754d.jpg,17
train,143_jpg.rf.4bf2d593b2dcffe4a19da0d590ed30cb.jpg,13
train,145_jpg.rf.c7b023ab3763cd94bf5a6c083c10b985.jpg,16
train,148_jpg.rf.735bb3e0815dbb534fee4a5fddb8fc9a.jpg,19
train,149_jpg.rf.a9ca776619da0dd70e95602e523dbb1a.jpg,19
train,150_jpg.rf.2dd6790f5fc0211c6b8a0bebded08354.jpg,19
train,152_jpg.rf.da2c4d0f32d6f12ecd6ecacd1ee76a68.jpg,13
train,155_jpg.rf.093f66fb1b5c68857d3fb733ea6c28e0.jpg,23
train,156_jpg.rf.746421f245b72dbf541074bf5d373bdd.jpg,16
train,157_jpg.rf.346be485e8163f4150a6ab9427aac768.jpg,15
train,159_jpg.rf.fe559d95c93942ca2d444b5300d564bd.jpg,41
train,160_jpg.rf.d13ec28751f53832401f22568bd6f3d1.jpg,17
train,164_jpg.rf.0cd8354785a1a669f3254ae07ae70ae6.jpg,12
train,165_jpg.rf.5e80636a4986a65a5e690d9eab5b306a.jpg,13
train,166_jpg.rf.20a6d237232614558c921ed9f79ad4f0.jpg,9
train,167_jpg.rf.ef352fd875031ef9efbc0dc196cd8741.jpg,9
train,168_jpg.rf.f02330b81c9f554ea5eb070a4028ee8e.jpg,14
train,169_jpg.rf.b3b97dbfc52aa6836e9205da92746f8a.jpg,12
train,170_jpg.rf.4a1d239251ab64b3c733cbc93c07c52c.jpg,12
train,172_jpg.rf.5497cc1a60cf5885cbe8978e762ca7b4.jpg,8
train,174_jpg.rf.462670ef59ff501d8799423fbba4f72e.jpg,12
train,177_jpg.rf.78ce205aa324b8cb17ee4051188b13d5.jpg,5
