filename,width,height,class,xmin,ymin,xmax,ymax,split,image_path,bbox_width,bbox_height,bbox_area,image_area,bbox_area_ratio,bbox_aspect_ratio,bbox_center_x,bbox_center_y,bbox_center_x_ratio,bbox_center_y_ratio,image_exists
177_jpg.rf.78ce205aa324b8cb17ee4051188b13d5.jpg,563,537,Microplastic,102,170,123,196,train,/kaggle/input/datasets/imtkaggleteam/microplastic-dataset-for-computer-vision/train/177_jpg.rf.78ce205aa324b8cb17ee4051188b13d5.jpg,21,26,546,302331,0.00180596763150322,0.8076923076923077,112.5,183.0,0.19982238010657194,0.3407821229050279,True
177_jpg.rf.78ce205aa324b8cb17ee4051188b13d5.jpg,563,537,Microplastic,395,247,424,281,train,/kaggle/input/datasets/imtkaggleteam/microplastic-dataset-for-computer-vision/train/177_jpg.rf.78ce205aa324b8cb17ee4051188b13d5.jpg,29,34,986,302331,0.0032613261623849355,0.8529411764705882,409.5,264.0,0.7273534635879219,0.49162011173184356,True
177_jpg.rf.78ce205aa324b8cb17ee4051188b13d5.jpg,563,537,Microplastic,160,254,188,290,train,/kaggle/input/datasets/imtkaggleteam/microplastic-dataset-for-computer-vision/train/177_jpg.rf.78ce205aa324b8cb17ee4051188b13d5.jpg,28,36,1008,302331,0.0033340940889290214,0.7777777777777778,174.0,272.0,0.30905861456483125,0.5065176908752328,True
177_jpg.rf.78ce205aa324b8cb17ee4051188b13d5.jpg,563,537,Microplastic,187,307,213,346,train,/kaggle/input/datasets/imtkaggleteam/microplastic-dataset-for-computer-vision/train/177_jpg.rf.78ce205aa324b8cb17ee4051188b13d5.jpg,26,39,1014,302331,0.0033539398870774087,0.6666666666666666,200.0,326.5,0.3552397868561279,0.6080074487895717,True
177_jpg.rf.78ce205aa324b8cb17ee4051188b13d5.jpg,563,537,Microplastic,175,379,209,427,train,/kaggle/input/datasets/imtkaggleteam/microplastic-dataset-for-computer-vision/train/177_jpg.rf.78ce205aa324b8cb17ee4051188b13d5.jpg,34,48,1632,302331,0.005398057096361273,0.7083333333333334,192.0,403.0,0.3410301953818828,0.750465549348231,True
a--100-_jpg.rf.77ca389cf7e6997bcae4d1bc8c86044a.jpg,563,537,Microplastic,276,60,338,137,train,/kaggle/input/datasets/imtkaggleteam/microplastic-dataset-for-computer-vision/train/a--100-_jpg.rf.77ca389cf7e6997bcae4d1bc8c86044a.jpg,62,77,4774,302331,0.015790640060066616,0.8051948051948052,307.0,98.5,0.5452930728241563,0.18342644320297952,True
a--100-_jpg.rf.77ca389cf7e6997bcae4d1bc8c86044a.jpg,563,537,Microplastic,24,221,105,302,train,/kaggle/input/datasets/imtkaggleteam/microplastic-dataset-for-computer-vision/train/a--100-_jpg.rf.77ca389cf7e6997bcae4d1bc8c86044a.jpg,81,81,6561,302331,0.02170138027526122,1.0,64.5,261.5,0.11456483126110124,0.48696461824953446,True
a--100-_jpg.rf.77ca389cf7e6997bcae4d1bc8c86044a.jpg,563,537,Microplastic,122,196,200,285,train,/kaggle/input/datasets/imtkaggleteam/microplastic-dataset-for-computer-vision/train/a--100-_jpg.rf.77ca389cf7e6997bcae4d1bc8c86044a.jpg,78,89,6942,302331,0.022961588457683795,0.8764044943820225,161.0,240.5,0.28596802841918295,0.4478584729981378,True
a--100-_jpg.rf.77ca389cf7e6997bcae4d1bc8c86044a.jpg,563,537,Microplastic,218,187,301,282,train,/kaggle/input/datasets/imtkaggleteam/microplastic-dataset-for-computer-vision/train/a--100-_jpg.rf.77ca389cf7e6997bcae4d1bc8c86044a.jpg,83,95,7885,302331,0.02608068640000529,0.8736842105263158,259.5,234.5,0.46092362344582594,0.4366852886405959,True
a--100-_jpg.rf.77ca389cf7e6997bcae4d1bc8c86044a.jpg,563,537,Microplastic,130,404,202,480,train,/kaggle/input/datasets/imtkaggleteam/microplastic-dataset-for-computer-vision/train/a--100-_jpg.rf.77ca389cf7e6997bcae4d1bc8c86044a.jpg,72,76,5472,302331,0.018099367911328972,0.9473684210526315,166.0,442.0,0.29484902309058614,0.8230912476722533,True
